point,path,cost,count,checking_edges,waypoints_of_llm,waypoints_using_llm
"(6800376, 6800463)","[6800376, 6800375, 6800374, 6800373, 6800372, 6800331, 6800332, 6800348, 6800335, 6800336, 6800350, 6800337, 6800351, 6800352, 6800353, 6800354, 6800355, 6800356, 6800474, 6800475, 6800472, 6800473, 6800463]",34,1159,1108,,
"(6805537, 6800304)","[6805537, 6800032, 6800033, 6801232, 6800034, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6800041, 6800149, 6801848, 6800165, 6800216, 6800150, 6800151, 6800152, 6800305, 6800304]",31,1456,1375,,
"(6802362, 6800239)","[6802362, 6802356, 6802352, 6805508, 6802367, 6801057, 6801056, 6801055, 6800055, 6805621, 6801909, 6806332, 6806333, 6802350, 6802399, 6801860, 6801862, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6805637, 6805638, 6800239]",46,2051,1944,,
"(6800911, 6800747)","[6800911, 6800910, 6800424, 6800423, 6800422, 6800421, 6800420, 6800419, 6800418, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800340, 6800339, 6800338, 6800160, 6801208, 6801849, 6800747]",19,337,333,,
"(6801799, 6805648)","[6801799, 6800165, 6801848, 6800149, 6800041, 6800040, 6800008, 6800038, 6800037, 6800036, 6800035, 6801806, 6801010, 6801009, 6800990, 6801839, 6801007, 6801006, 6801005, 6801004, 6801003, 6801002, 6800703, 6805641, 6800704, 6805642, 6805648]",27,1469,1402,,
"(6800399, 6800243)","[6800399, 6800398, 6805701, 6800397, 6800396, 6800395, 6800394, 6800393, 6801118, 6806189, 6806188, 6800392, 6800391, 6805646, 6800389, 6800388, 6800387, 6800386, 6800385, 6800384, 6800469, 6800470, 6800479, 6805634, 6800480, 6800481, 6800482, 6801275, 6800483, 6800484, 6801841, 6800485, 6800579, 6800487, 6800488, 6801277, 6805631, 6805633, 6800244, 6800243]",39,474,471,,
"(6801157, 6800756)","[6801157, 6800055, 6801055, 6801056, 6801057, 6802367, 6800757, 6800965, 6800964, 6800963, 6800756]",15,633,615,,
"(6800294, 6800859)","[6800294, 6800293, 6801047, 6800007, 6800006, 6805261, 6801864, 6806334, 6802350, 6806333, 6806332, 6801909, 6805621, 6800055, 6801055, 6801056, 6801057, 6801289, 6801051, 6800763, 6801294, 6800765, 6800766, 6800767, 6800768, 6800769, 6800770, 6800795, 6801221, 6800807, 6800848, 6800847, 6800846, 6801220, 6800845, 6800844, 6800843, 6802343, 6800861, 6800859]",120,3167,3022,,
"(6801857, 6800485)","[6801857, 6801859, 6802399, 6801860, 6801862, 6805260, 6800040, 6801257, 6802339, 6800291, 6800290, 6800289, 6800288, 6800287, 6800286, 6800907, 6800260, 6802330, 6800261, 6802331, 6800247, 6800246, 6805639, 6800245, 6801804, 6800244, 6805633, 6805631, 6801277, 6800488, 6800487, 6800579, 6800485]",39,2178,2070,,
"(6801489, 6805261)","[6801489, 6801053, 6801174, 6801874, 6800016, 6801817, 6801866, 6801864, 6805261]",16,676,639,,
"(6801051, 6801294)","[6801051, 6800763, 6801294]",4,22,22,,
"(6800622, 6801055)","[6800622, 6801017, 6801016, 6801015, 6801051, 6801289, 6801057, 6801056, 6801055]",26,218,206,,
"(6800719, 6806331)","[6800719, 6802319, 6800132, 6800131, 6800130, 6801297, 6806238, 6801889, 6805668, 6801910, 6806331]",20,170,170,,
"(6801224, 6800273)","[6801224, 6801852, 6800898, 6805614, 6805617, 6800902, 6800903, 6800904, 6800905, 6800906, 6800314, 6800313, 6800312, 6800320, 6800319, 6801241, 6806358, 6806361, 6800948, 6800032, 6800033, 6801232, 6800034, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6800041, 6800149, 6801848, 6800165, 6800216, 6800636, 6801011, 6800255, 6800254, 6800253, 6800274, 6800273]",70,1771,1702,,
