교통수단,노선번호,노선명,정류장ID,정류장명,정류장수,정류장순서,정류장 X좌표,정류장 Y좌표
세종시(일반),540,540번(장군면사무소~장군면사무소),6800133,장군면사무소,3,1,127.20531,36.49714
세종시(일반),540,540번(장군면사무소~장군면사무소),6800134,하봉리마을회관,3,2,127.19032,36.49593
세종시(일반),540,540번(장군면사무소~장군면사무소),6800124,장군면사무소,3,3,127.20511,36.49684
세종시(일반),550,550번(산성동종점~조치원역),6801913,산성동종점,62,1,127.12387,36.46014
세종시(일반),550,550번(산성동종점~조치원역),6800655,"산성시장(옥룡동,공주고방면)",62,2,127.124697,36.458732
세종시(일반),550,550번(산성동종점~조치원역),6800656,중동사거리,62,3,127.12615,36.4563
세종시(일반),550,550번(산성동종점~조치원역),6800657,옥룡동 회전교차로(터미널),62,4,127.131593,36.45554
세종시(일반),550,550번(산성동종점~조치원역),6800658,옥룡동 주민센터(시목동방면),62,5,127.135852,36.456358
세종시(일반),550,550번(산성동종점~조치원역),6800659,시목동(터미널 방면),62,6,127.139402,36.464048
세종시(일반),550,550번(산성동종점~조치원역),6800660,종합버스터미널(신관초방면),62,7,127.134992,36.467952
세종시(일반),550,550번(산성동종점~조치원역),6801176,신관사거리,62,8,127.131293,36.471033
세종시(일반),550,550번(산성동종점~조치원역),6800662,관골,62,9,127.133203,36.47326
세종시(일반),550,550번(산성동종점~조치원역),6800663,주공1차아파트(법원방면),62,10,127.136732,36.473792
세종시(일반),550,550번(산성동종점~조치원역),6800664,신관초사거리(신관주공방면),62,11,127.138317,36.474125
세종시(일반),550,550번(산성동종점~조치원역),6800665,주공2차아파트(법원방면),62,12,127.140475,36.476435
세종시(일반),550,550번(산성동종점~조치원역),6800666,우남퍼스트빌(정보고방면),62,13,127.140393,36.47858
세종시(일반),550,550번(산성동종점~조치원역),6800667,공주교도소,62,14,127.14324,36.47923
세종시(일반),550,550번(산성동종점~조치원역),6801200,금흥교(정보고),62,15,127.14634,36.48072
세종시(일반),550,550번(산성동종점~조치원역),6800669,금흥동,62,16,127.14904,36.48035
세종시(일반),550,550번(산성동종점~조치원역),6800670,공주정보고(장군면 방면),62,17,127.155283,36.482062
세종시(일반),550,550번(산성동종점~조치원역),6800671,장기산업단지(장군면방면),62,18,127.158917,36.48206
세종시(일반),550,550번(산성동종점~조치원역),6800672,송선2통(장군면 방면),62,19,127.162052,36.483592
세종시(일반),550,550번(산성동종점~조치원역),6800673,송선1통(장군면 방면),62,20,127.168682,36.484735
세종시(일반),550,550번(산성동종점~조치원역),6800674,송선수영장(장군면방면),62,21,127.17248,36.484532
세종시(일반),550,550번(산성동종점~조치원역),6800675,공주정명학교(장군면방면),62,22,127.178628,36.486177
세종시(일반),550,550번(산성동종점~조치원역),6800676,동현리(장군면 방면),62,23,127.188098,36.487495
세종시(일반),550,550번(산성동종점~조치원역),6800677,은용리,62,24,127.19574,36.48912
세종시(일반),550,550번(산성동종점~조치원역),6800678,하봉교차로,62,25,127.19782,36.48959
세종시(일반),550,550번(산성동종점~조치원역),6800679,장기중학교,62,26,127.20235,36.49398
세종시(일반),550,550번(산성동종점~조치원역),6800124,장군면사무소,62,27,127.20511,36.49684
세종시(일반),550,550번(산성동종점~조치원역),6802320,장군면복지회관,62,28,127.208195,36.499048
세종시(일반),550,550번(산성동종점~조치원역),6800125,대교리,62,29,127.21053,36.50069
세종시(일반),550,550번(산성동종점~조치원역),6800126,봉안리(부일가든),62,30,127.21592,36.50016
세종시(일반),550,550번(산성동종점~조치원역),6801260,봉안리,62,31,127.221308,36.499053
세종시(일반),550,550번(산성동종점~조치원역),6801211,봉안리(다름고개),62,32,127.2291,36.499018
세종시(일반),550,550번(산성동종점~조치원역),6802324,다정동,62,33,127.234568,36.49981
세종시(일반),550,550번(산성동종점~조치원역),6801910,다빛초등학교(가온마을3단지),62,34,127.242547,36.499515
세종시(일반),550,550번(산성동종점~조치원역),6800128,가재마을5단지.가온마을6단지,62,35,127.24736,36.49915
세종시(일반),550,550번(산성동종점~조치원역),6800055,어진중학교(가재마을9단지),62,36,127.255035,36.498655
세종시(일반),550,550번(산성동종점~조치원역),6801070,정부세종청사남측,62,37,127.260102,36.501603
세종시(일반),550,550번(산성동종점~조치원역),6801071,정부세종청사북측,62,38,127.261687,36.504893
세종시(일반),550,550번(산성동종점~조치원역),6801149,인사혁신처,62,39,127.261513,36.509165
세종시(일반),550,550번(산성동종점~조치원역),6801875,"도램마을8,10단지",62,40,127.260002,36.511917
세종시(일반),550,550번(산성동종점~조치원역),6800031,도담동(도램마을),62,41,127.259393,36.514017
세종시(일반),550,550번(산성동종점~조치원역),6806274,세종충남대학교병원(후문),62,42,127.259685,36.5205
세종시(일반),550,550번(산성동종점~조치원역),6800947,해밀리,62,43,127.263968,36.52854
세종시(일반),550,550번(산성동종점~조치원역),6800948,한별리,62,44,127.276657,36.533838
세종시(일반),550,550번(산성동종점~조치원역),6800032,연기리,62,45,127.27681,36.54431
세종시(일반),550,550번(산성동종점~조치원역),6800033,보통2리,62,46,127.27849,36.54869
세종시(일반),550,550번(산성동종점~조치원역),6801232,방공학교,62,47,127.27817,36.55202
세종시(일반),550,550번(산성동종점~조치원역),6800034,실광주유소,62,48,127.27737,36.55469
세종시(일반),550,550번(산성동종점~조치원역),6800035,대원아파트,62,49,127.27835,36.55839
세종시(일반),550,550번(산성동종점~조치원역),6800036,대원아파트후문,62,50,127.28087,36.56068
세종시(일반),550,550번(산성동종점~조치원역),6800037,봉암리,62,51,127.28345,36.56387
세종시(일반),550,550번(산성동종점~조치원역),6800038,세종교통,62,52,127.28491,36.56604
세종시(일반),550,550번(산성동종점~조치원역),6800008,세종장례식장입구,62,53,127.28778,36.57
세종시(일반),550,550번(산성동종점~조치원역),6806370,월하리(패션아울렛),62,54,127.290305,36.573513
세종시(일반),550,550번(산성동종점~조치원역),6800040,월하리(항공학교),62,55,127.29212,36.57633
세종시(일반),550,550번(산성동종점~조치원역),6800041,월하리,62,56,127.29276,36.57842
세종시(일반),550,550번(산성동종점~조치원역),6800149,번암삼거리,62,57,127.29409,36.58365
세종시(일반),550,550번(산성동종점~조치원역),6800042,번암아파트,62,58,127.297173,36.586698
세종시(일반),550,550번(산성동종점~조치원역),6800043,죽림리,62,59,127.29897,36.59127
세종시(일반),550,550번(산성동종점~조치원역),6800044,효성세종병원,62,60,127.29895,36.59705
세종시(일반),550,550번(산성동종점~조치원역),6800045,조치원전통시장,62,61,127.29861,36.59898
세종시(일반),550,550번(산성동종점~조치원역),6801304,조치원역,62,62,127.297078,36.601332
