일련번호,정산지역코드,노선ID,교통수단코드,노선명,노선번호,노선정류장수,노선거리,출발정류장ID,도착정류장ID
1,26001,60600079,828,801번(민석아파트입구~세종고속시외버스터미널),801,55,55,6800415,6801288
2,26001,60600198,828,340번(세종고속시외버스터미널~조치원버스터미널),340,29,29,6801289,6800075
3,26001,60600199,828,340-1번(조치원버스터미널~세종고속시외버스터미널),340-1,28,28,6800075,6801288
4,26001,60600133,829,655-1번(세종고속시외버스터미널~충남대학교),655-1,43,43,6802397,6801359
5,26001,60600129,828,550-1번(조치원역~산성동종점),550-1,64,64,6800001,6800654
6,26001,60600127,828,991-1번(대곡리~국책연구단지북측),991-1,47,47,6800400,6801842
7,26001,60600134,828,801-1번(세종고속시외버스터미널~민석아파트입구),801-1,55,55,6801289,6800386
8,26001,60600358,828,봄꽃1번(세종고속시외버스터미널~용암삼거리),봄꽃1,5,5,6801289,6801179
9,26001,60600359,828,봄꽃1-1번(용암삼거리~세종고속시외버스터미널),봄꽃1-1,6,6,6805639,6801288
10,26001,60600360,828,봄꽃2번(세종고속시외버스터미널~고복저수지),봄꽃2,9,9,6801289,6805638
11,26001,60600361,828,봄꽃2-1번(고복저수지~세종고속시외버스터미널),봄꽃2-1,9,9,6805639,6801288
12,26001,60600089,830,B2번(반석역~오송역),B2,14,14,6800945,6800966
13,26001,60600126,830,B2-1번(오송역~반석역),B2-1,14,14,6800966,6800944
14,26001,60600197,830,1000번(반석역~신안2리(안터)),1000,29,29,6800945,6805811
15,26001,60600196,830,1000-1번(신안2리(안터)~반석역),1000-1,29,29,6805810,6800944
16,26001,60600379,828,DRT3번(장군면사무소~김종서장군묘),DRT3,2,2,6800124,6801894
17,26001,60600380,828,DRT4번(장군면사무소~김종서장군묘),DRT4,2,2,6800124,6801894
18,26001,60600384,828,B5번(청사방면 세종고속시외버스터미널~세종고속시외버스터미널),B5,29,29,6800759,6800758
19,26001,60600383,828,B5-1번(시청방면 세종고속시외버스터미널~세종고속시외버스터미널),B5-1,29,29,6800759,6800758
20,26001,60600266,828,65번(세종고속시외버스터미널~두만2리),65,9,9,6801289,6801066
21,26001,60600267,828,65-1번(두만2리~세종고속시외버스터미널),Jan-65,7,7,6801066,6801288
22,26001,60600268,828,66번(세종고속시외버스터미널~달전리마을회관),66,21,21,6801289,6800821
23,26001,60600269,828,66-1번(달전리마을회관~세종고속시외버스터미널),Jan-66,20,20,6800803,6801288
24,26001,60600270,828,661번(세종고속시외버스터미널~송강마을아파트),661,30,30,6801289,6801418
25,26001,60600271,828,661-1번(송강마을아파트~세종고속시외버스터미널),661-1,28,28,6801418,6801288
26,26001,60600272,828,67번(세종고속시외버스터미널~부용2리),67,19,19,6801289,6800779
27,26001,60600273,828,67-1번(부용2리~세종고속시외버스터미널),Jan-67,19,19,6800780,6801288
28,26001,60600274,828,69번(세종고속시외버스터미널~신동2통),69,21,21,6801289,6800849
29,26001,60600275,828,69-1번(신동2통~세종고속시외버스터미널),Jan-69,21,21,6800861,6801288
30,26001,60600276,828,691번(세종고속시외버스터미널~송강마을아파트),691,29,29,6801289,6801418
31,26001,60600277,828,691-1번(송강마을아파트~세종고속시외버스터미널),691-1,29,29,6801418,6801288
