일련번호,정산지역코드,정류장ID,버스정류장명,정류장 X좌표,정류장 Y좌표
1,26001,6800001,조치원역,127.29713,36.60099
2,26001,6800002,조치원전통시장,127.29819,36.599942
3,26001,6800003,죽림리,127.2989,36.59075
4,26001,6800004,번암리,127.29841,36.5884
5,26001,6800005,번암아파트,127.29582,36.58577
6,26001,6800006,월하리,127.29256,36.57825
7,26001,6800007,월하리(항공학교),127.29147,36.57537
8,26001,6800008,세종장례식장입구,127.287781,36.570132
9,26001,6800009,세종교통,127.28472,36.56604
10,26001,6800010,봉암리,127.28305,36.56358
11,26001,6800011,대원아파트,127.27817,36.55833
12,26001,6800012,실광주유소,127.277268,36.55435
13,26001,6800013,보통2리,127.27837,36.54867
14,26001,6800014,연기리,127.27714,36.54482
15,26001,6800015,연기면사무소,127.27434,36.5415
16,26001,6800016,도담동(도램마을),127.258793,36.51497
17,26001,6800017,정부세종청사북측,127.26143,36.50512
18,26001,6800018,정부세종청사남측,127.259385,36.500837
19,26001,6800019,성남고등학교,127.25617,36.4939
20,26001,6800020,나성동,127.257055,36.487685
21,26001,6800021,첫마을임시터미널,127.26163,36.48107
22,26001,6800022,LH공사,127.27976,36.46941
23,26001,6800023,대평리,127.28132,36.46845
24,26001,6800024,대평리,127.28107,36.46874
25,26001,6800025,충남대의료원(LH공사),127.27977,36.46952
26,26001,6800026,첫마을임시터미널,127.2619,36.48128
27,26001,6800027,나성동,127.25798,36.4869
28,26001,6800028,성남고등학교,127.25656,36.49387
29,26001,6800029,정부세종청사남측,127.26013,36.50162
30,26001,6800030,정부세종청사북측,127.261315,36.50404
31,26001,6800031,도담동(도램마을),127.259393,36.514017
32,26001,6800032,연기리,127.27681,36.54431
33,26001,6800033,보통2리,127.27849,36.54869
34,26001,6800034,실광주유소,127.27737,36.55469
35,26001,6800035,대원아파트,127.27835,36.55839
36,26001,6800036,대원아파트후문,127.28087,36.56068
37,26001,6800037,봉암리,127.28345,36.56387
38,26001,6800038,세종교통,127.28491,36.56604
39,26001,6800039,월암교,127.28778,36.57004
40,26001,6800040,월하리(항공학교),127.29212,36.57633
41,26001,6800041,월하리,127.29276,36.57842
42,26001,6800042,번암아파트,127.297173,36.586698
43,26001,6800043,죽림리,127.29897,36.59127
44,26001,6800044,효성세종병원,127.29895,36.59705
45,26001,6800045,조치원전통시장,127.29861,36.59898
46,26001,6800046,조치원역,127.296902,36.60117
47,26001,6800047,연기리,127.277112,36.544778
48,26001,6800048,연기면사무소,127.274315,36.54167
49,26001,6800049,월산리,127.31163,36.519177
50,26001,6800050,양화1리,127.2956,36.503077
51,26001,6800051,양화리,127.29218,36.50375
52,26001,6800052,양화3리,127.28689,36.50489
53,26001,6800053,진의리입구,127.28517,36.50408
54,26001,6800054,어진중학교(가재마을9단지),127.25491,36.498932
55,26001,6800055,어진중학교(가재마을9단지),127.255035,36.498655
56,26001,6800056,양화3리,127.2869,36.50482
57,26001,6800057,양화리,127.29211,36.50371
58,26001,6800058,양화1리,127.295612,36.50303
59,26001,6800059,연기리,127.276817,36.544362
60,26001,6800060,첫마을1단지,127.2592,36.483845
61,26001,6800062,첫마을4단지,127.25164,36.4802
62,26001,6800063,첫마을5단지,127.24976,36.47762
63,26001,6800064,첫마을6단지,127.25325,36.47507
64,26001,6800065,열병합발전소,127.24613,36.4654
65,26001,6800067,한국영상대학교,127.21124,36.46158
66,26001,6800069,열병합발전소,127.246,36.46513
67,26001,6800075,조치원버스터미널,127.303523,36.602458
68,26001,6800076,중봉리,127.30656,36.60364
69,26001,6800077,서평리,127.31297,36.59864
70,26001,6800078,동평3리,127.31859,36.5868
71,26001,6800079,미경동,127.3185,36.58664
72,26001,6800080,강촌입구,127.317,36.58088
73,26001,6800081,예양2리(강촌),127.308,36.57658
74,26001,6800082,송용3리(신촌),127.30807,36.56901
75,26001,6800083,송용3리,127.30372,36.56038
76,26001,6800084,문주리,127.310048,36.546467
77,26001,6800085,용호1리,127.30896,36.53951
78,26001,6800086,용호리,127.31142,36.53916
79,26001,6800087,용호2리,127.31352,36.5373
80,26001,6800088,용호3리,127.31757,36.53647
81,26001,6800089,합강리,127.33119,36.52605
82,26001,6800090,합강1리,127.32742,36.52146
83,26001,6800091,합강1리,127.327515,36.521393
84,26001,6800092,합강리,127.33143,36.52643
85,26001,6800093,삼성전기,127.33697,36.537797
86,26001,6800094,응암농공단지,127.33419,36.54621
87,26001,6800095,교과서박물관,127.33046,36.54933
88,26001,6800096,연동중학교,127.32801,36.5529
89,26001,6800097,내판역,127.32516,36.55796
90,26001,6800098,송용리,127.323177,36.561985
91,26001,6800099,예양리,127.32321,36.57279
92,26001,6800100,양세오충각,127.3219,36.57838
93,26001,6800101,동평3리,127.31843,36.58647
94,26001,6800102,미경동,127.31851,36.58654
95,26001,6800103,서평리,127.31318,36.59852
96,26001,6800104,서평리,127.3131,36.59867
97,26001,6800105,중봉리,127.30684,36.60392
98,26001,6800106,조치원공영버스터미널,127.3027,36.601998
99,26001,6800107,양세오충각,127.32177,36.57851
100,26001,6800108,예양리,127.32303,36.57283
101,26001,6800109,송용리,127.322987,36.561795
102,26001,6800111,연동중학교,127.32796,36.55275
103,26001,6800112,교과서박물관,127.33021,36.5494
104,26001,6800113,응암농공단지,127.33441,36.5457
105,26001,6800114,명학산업단지 관리사무소,127.336907,36.537922
106,26001,6800124,장군면사무소,127.20511,36.49684
107,26001,6800125,대교리,127.21053,36.50069
108,26001,6800126,봉안리(부일가든),127.21592,36.50016
109,26001,6800127,봉안리,127.22191,36.49899
110,26001,6800128,가재마을5단지.가온마을6단지,127.24736,36.49915
111,26001,6800129,가재마을5단지.가온마을6단지,127.246608,36.499447
112,26001,6800130,봉안리,127.22398,36.49892
113,26001,6800131,봉안리(부일가든),127.21556,36.50061
114,26001,6800132,대교리,127.21121,36.50109
115,26001,6800133,장군면사무소,127.20531,36.49714
116,26001,6800134,하봉리마을회관,127.19032,36.49593
117,26001,6800135,하봉리마을회관,127.190315,36.495753
118,26001,6800136,번암삼거리,127.29416,36.58401
119,26001,6800137,농업기술센터,127.28354,36.57213
120,26001,6800138,쌍전리(우리요양원),127.26937,36.57809
121,26001,6800139,전당골,127.26832,36.58242
122,26001,6800140,쌍전리(우리요양원),127.26923,36.57806
123,26001,6800141,쌍전리마을회관,127.27925,36.57776
124,26001,6800142,월하2리,127.28447,36.58373
125,26001,6800143,도원초등학교,127.28655,36.58576
126,26001,6800144,자이아파트정문,127.29058,36.58847
127,26001,6800145,자이아파트,127.291887,36.59076
128,26001,6800146,신동아아파트,127.29667,36.59199
129,26001,6800147,봉암리,127.283127,36.563652
130,26001,6800148,봉암2리마을회관,127.28701,36.55973
131,26001,6800149,번암삼거리,127.29409,36.58365
132,26001,6800150,세종시문화예술회관,127.29075,36.598
133,26001,6800151,신봉초등학교,127.29016,36.60169
134,26001,6800152,세종여자고등학교입구,127.291415,36.606843
135,26001,6800153,고려대학교,127.29344,36.61076
136,26001,6800154,새주막거리,127.29459,36.61236
137,26001,6800155,세종고등학교,127.29666,36.61024
138,26001,6800156,조치원여중,127.29722,36.60576
139,26001,6800157,세종우체국,127.29789,36.60296
140,26001,6800158,세종중학교,127.29741,36.60578
141,26001,6800159,세종고등학교,127.2968,36.61017
142,26001,6800160,새주막거리,127.29455,36.61256
143,26001,6800161,고려대학교,127.29312,36.61082
144,26001,6800162,세종여자고등학교입구,127.291263,36.607013
